Country/Region,Province/State,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region,cluster
Afghanistan,Unknown,33.93911,67.709953,2020-07-27,36263,1269,25198,9796,Eastern Mediterranean,1
Albania,Unknown,41.1533,20.1683,2020-07-27,4880,144,2745,1991,Europe,1
Algeria,Unknown,28.0339,1.6596,2020-07-27,27973,1163,18837,7973,Africa,1
Andorra,Unknown,42.5063,1.5218,2020-07-27,907,52,803,52,Europe,1
Angola,Unknown,-11.2027,17.8739,2020-07-27,950,41,242,667,Africa,3
Antigua and Barbuda,Unknown,17.0608,-61.7964,2020-07-27,86,3,65,18,Americas,0
Argentina,Unknown,-38.4161,-63.6167,2020-07-27,167416,3059,72575,91782,Americas,0
Armenia,Unknown,40.0691,45.0382,2020-07-27,37390,711,26665,10014,Europe,1
Australia,Western Australia,-31.9505,115.8605,2020-07-27,659,9,647,3,Western Pacific,3
Austria,Unknown,47.5162,14.5501,2020-07-27,20558,713,18246,1599,Europe,1
Azerbaijan,Unknown,40.1431,47.5769,2020-07-27,30446,423,23242,6781,Europe,1
Bahamas,Unknown,25.025885,-78.035889,2020-07-27,382,11,91,280,Americas,0
Bahrain,Unknown,26.0275,50.55,2020-07-27,39482,141,36110,3231,Eastern Mediterranean,1
Bangladesh,Unknown,23.685,90.3563,2020-07-27,226225,2965,125683,97577,South-East Asia,1
Barbados,Unknown,13.1939,-59.5432,2020-07-27,110,7,94,9,Americas,0
Belarus,Unknown,53.7098,27.9534,2020-07-27,67251,538,60492,6221,Europe,1
Belgium,Unknown,50.8333,4.469936,2020-07-27,66428,9822,17452,39154,Europe,1
Belize,Unknown,17.1899,-88.4976,2020-07-27,48,2,26,20,Americas,0
Benin,Unknown,9.3077,2.3158,2020-07-27,1770,35,1036,699,Africa,0
Bhutan,Unknown,27.5142,90.4336,2020-07-27,99,0,86,13,South-East Asia,1
Bolivia,Unknown,-16.2902,-63.5887,2020-07-27,71181,2647,21478,47056,Americas,0
Bosnia and Herzegovina,Unknown,43.9159,17.6791,2020-07-27,10498,294,4930,5274,Europe,1
Botswana,Unknown,-22.3285,24.6849,2020-07-27,739,2,63,674,Africa,3
Brazil,Unknown,-14.235,-51.9253,2020-07-27,2442375,87618,1846641,508116,Americas,2
Brunei,Unknown,4.5353,114.7277,2020-07-27,141,3,138,0,Western Pacific,3
Bulgaria,Unknown,42.7339,25.4858,2020-07-27,10621,347,5585,4689,Europe,1
Burkina Faso,Unknown,12.2383,-1.5616,2020-07-27,1100,53,926,121,Africa,0
Burma,Unknown,21.9162,95.956,2020-07-27,350,6,292,52,South-East Asia,3
Burundi,Unknown,-3.3731,29.9189,2020-07-27,378,1,301,76,Africa,3
Cabo Verde,Unknown,16.5388,-23.0418,2020-07-27,2328,22,1550,756,Africa,0
Cambodia,Unknown,11.55,104.9167,2020-07-27,226,0,147,79,Western Pacific,3
Cameroon,Unknown,3.848,11.5021,2020-07-27,17110,391,14539,2180,Africa,3
Canada,Saskatchewan,52.9399,-106.4509,2020-07-27,1209,16,0,1193,Americas,0
Central African Republic,Unknown,6.6111,20.9394,2020-07-27,4599,59,1546,2994,Africa,3
Chad,Unknown,15.4542,18.7322,2020-07-27,922,75,810,37,Africa,3
Chile,Unknown,-35.6751,-71.543,2020-07-27,347923,9187,319954,18782,Americas,0
China,Zhejiang,29.1832,120.0934,2020-07-27,1270,1,1268,1,Western Pacific,3
Colombia,Unknown,4.5709,-74.2973,2020-07-27,257101,8777,131161,117163,Americas,0
Comoros,Unknown,-11.6455,43.3333,2020-07-27,354,7,328,19,Africa,3
Congo (Brazzaville),Unknown,-0.228,15.8277,2020-07-27,3200,54,829,2317,Africa,3
Congo (Kinshasa),Unknown,-4.0383,21.7587,2020-07-27,8844,208,5700,2936,Africa,3
Costa Rica,Unknown,9.7489,-83.7534,2020-07-27,15841,115,3824,11902,Americas,0
Cote d'Ivoire,Unknown,7.54,-5.5471,2020-07-27,15655,96,10361,5198,Africa,0
Croatia,Unknown,45.1,15.2,2020-07-27,4881,139,3936,806,Europe,1
Cuba,Unknown,21.521757,-77.78116700000002,2020-07-27,2532,87,2351,94,Americas,0
Cyprus,Unknown,35.1264,33.4299,2020-07-27,1060,19,852,189,Europe,1
Czechia,Unknown,49.8175,15.473,2020-07-27,15516,373,11428,3715,Europe,1
Denmark,Unknown,56.2639,9.5018,2020-07-27,13547,613,12417,517,Europe,1
Djibouti,Unknown,11.8251,42.5903,2020-07-27,5059,58,4977,24,Eastern Mediterranean,3
Dominica,Unknown,15.415,-61.371,2020-07-27,18,0,18,0,Americas,0
Dominican Republic,Unknown,18.7357,-70.1627,2020-07-27,64156,1083,30204,32869,Americas,0
Ecuador,Unknown,-1.8312,-78.1834,2020-07-27,81161,5532,34896,40733,Americas,0
Egypt,Unknown,26.820553000000004,30.802498,2020-07-27,92482,4652,34838,52992,Eastern Mediterranean,1
El Salvador,Unknown,13.7942,-88.8965,2020-07-27,15035,408,7778,6849,Americas,0
Equatorial Guinea,Unknown,1.6508,10.2679,2020-07-27,3071,51,842,2178,Africa,3
Eritrea,Unknown,15.1794,39.7823,2020-07-27,265,0,191,74,Africa,3
Estonia,Unknown,58.5953,25.0136,2020-07-27,2034,69,1923,42,Europe,1
Eswatini,Unknown,-26.5225,31.4659,2020-07-27,2316,34,1025,1257,Africa,3
Ethiopia,Unknown,9.145,40.4897,2020-07-27,14547,228,6386,7933,Africa,3
Fiji,Unknown,-17.7134,178.065,2020-07-27,27,0,18,9,Western Pacific,3
Finland,Unknown,61.92411,25.748151,2020-07-27,7398,329,6920,149,Europe,1
France,Unknown,46.2276,2.2137,2020-07-27,208665,30096,71497,107072,Europe,1
Gabon,Unknown,-0.8037,11.6094,2020-07-27,7189,49,4682,2458,Africa,3
Gambia,Unknown,13.4432,-15.3101,2020-07-27,326,8,66,252,Africa,0
Georgia,Unknown,42.3154,43.3569,2020-07-27,1137,16,922,199,Europe,1
Germany,Unknown,51.165691,10.451526,2020-07-27,207112,9125,190314,7673,Europe,1
Ghana,Unknown,7.9465,-1.0232,2020-07-27,33624,168,29801,3655,Africa,0
Greece,Unknown,39.0742,21.8243,2020-07-27,4227,202,1374,2651,Europe,1
Greenland,Greenland,71.7069,-42.6043,2020-07-27,14,0,13,1,Europe,1
Grenada,Unknown,12.1165,-61.679,2020-07-27,23,0,23,0,Americas,0
Guatemala,Unknown,15.7835,-90.2308,2020-07-27,45309,1761,32455,11093,Americas,0
Guinea,Unknown,9.9456,-9.6966,2020-07-27,7055,45,6257,753,Africa,0
Guinea-Bissau,Unknown,11.8037,-15.1804,2020-07-27,1954,26,803,1125,Africa,0
Guyana,Unknown,4.860416000000002,-58.93018000000001,2020-07-27,389,20,181,188,Americas,0
Haiti,Unknown,18.9712,-72.2852,2020-07-27,7340,158,4365,2817,Americas,0
Holy See,Unknown,41.9029,12.4534,2020-07-27,12,0,12,0,Europe,1
Honduras,Unknown,15.2,-86.2419,2020-07-27,39741,1166,5039,33536,Americas,0
Hungary,Unknown,47.1625,19.5033,2020-07-27,4448,596,3329,523,Europe,1
Iceland,Unknown,64.9631,-19.0208,2020-07-27,1854,10,1823,21,Europe,1
India,Unknown,20.593684,78.96288,2020-07-27,1480073,33408,951166,495499,South-East Asia,1
Indonesia,Unknown,-0.7893,113.9213,2020-07-27,100303,4838,58173,37292,South-East Asia,3
Iran,Unknown,32.427908,53.68804599999999,2020-07-27,293606,15912,255144,22550,Eastern Mediterranean,1
Iraq,Unknown,33.223191,43.679291,2020-07-27,112585,4458,77144,30983,Eastern Mediterranean,1
Ireland,Unknown,53.1424,-7.6921,2020-07-27,25892,1764,23364,764,Europe,1
Israel,Unknown,31.046051,34.851612,2020-07-27,63985,474,27133,36378,Europe,1
Italy,Unknown,41.87194,12.56738,2020-07-27,246286,35112,198593,12581,Europe,1
Jamaica,Unknown,18.1096,-77.2975,2020-07-27,853,10,714,129,Americas,0
Japan,Unknown,36.204824,138.252924,2020-07-27,31142,998,21970,8174,Western Pacific,1
Jordan,Unknown,31.24,36.51,2020-07-27,1176,11,1041,124,Eastern Mediterranean,1
Kazakhstan,Unknown,48.0196,66.9237,2020-07-27,84648,585,54404,29659,Europe,1
Kenya,Unknown,-0.0236,37.9062,2020-07-27,17975,285,7833,9857,Africa,3
Kosovo,Unknown,42.602636,20.902977,2020-07-27,7413,185,4027,3201,Europe,1
Kuwait,Unknown,29.31166,47.481766,2020-07-27,64379,438,55057,8884,Eastern Mediterranean,1
Kyrgyzstan,Unknown,41.20438,74.766098,2020-07-27,33296,1301,21205,10790,Europe,1
Laos,Unknown,19.85627,102.495496,2020-07-27,20,0,19,1,Western Pacific,3
Latvia,Unknown,56.8796,24.6032,2020-07-27,1219,31,1045,143,Europe,1
Lebanon,Unknown,33.8547,35.8623,2020-07-27,3882,51,1709,2122,Eastern Mediterranean,1
Lesotho,Unknown,-29.61,28.2336,2020-07-27,505,12,128,365,Africa,3
Liberia,Unknown,6.4280550000000005,-9.429499,2020-07-27,1167,72,646,449,Africa,0
Libya,Unknown,26.3351,17.228331,2020-07-27,2827,64,577,2186,Eastern Mediterranean,1
Liechtenstein,Unknown,47.14,9.55,2020-07-27,86,1,81,4,Europe,1
Lithuania,Unknown,55.1694,23.8813,2020-07-27,2019,80,1620,319,Europe,1
Luxembourg,Unknown,49.8153,6.1296,2020-07-27,6321,112,4825,1384,Europe,1
Madagascar,Unknown,-18.766947,46.869107,2020-07-27,9690,91,6260,3339,Africa,3
Malawi,Unknown,-13.2543,34.3015,2020-07-27,3664,99,1645,1920,Africa,3
Malaysia,Unknown,4.210483999999999,101.975766,2020-07-27,8904,124,8601,179,Western Pacific,3
Maldives,Unknown,3.2028,73.2207,2020-07-27,3369,15,2547,807,South-East Asia,3
Mali,Unknown,17.570692,-3.996166000000001,2020-07-27,2513,124,1913,476,Africa,0
Malta,Unknown,35.9375,14.3754,2020-07-27,701,9,665,27,Europe,1
Mauritania,Unknown,21.0079,-10.9408,2020-07-27,6208,156,4653,1399,Africa,0
Mauritius,Unknown,-20.348404,57.552152,2020-07-27,344,10,332,2,Africa,3
Mexico,Unknown,23.6345,-102.5528,2020-07-27,395489,44022,303810,47657,Americas,0
Moldova,Unknown,47.4116,28.3699,2020-07-27,23154,748,16154,6252,Europe,1
Monaco,Unknown,43.7333,7.4167,2020-07-27,116,4,104,8,Europe,1
Mongolia,Unknown,46.8625,103.8467,2020-07-27,289,0,222,67,Western Pacific,1
Montenegro,Unknown,42.708678000000006,19.37439,2020-07-27,2893,45,809,2039,Europe,1
Morocco,Unknown,31.7917,-7.0926,2020-07-27,20887,316,16553,4018,Eastern Mediterranean,1
Mozambique,Unknown,-18.665695,35.529562,2020-07-27,1701,11,0,1690,Africa,3
Namibia,Unknown,-22.9576,18.4904,2020-07-27,1843,8,101,1734,Africa,3
Nepal,Unknown,28.1667,84.25,2020-07-27,18752,48,13754,4950,South-East Asia,1
Netherlands,Aruba,12.5211,-69.9683,2020-07-27,119,3,102,14,Europe,0
New Zealand,Unknown,-40.9006,174.886,2020-07-27,1557,22,1514,21,Western Pacific,3
Nicaragua,Unknown,12.865416,-85.207229,2020-07-27,3439,108,2492,839,Americas,0
Niger,Unknown,17.607789,8.081666,2020-07-27,1132,69,1027,36,Africa,0
Nigeria,Unknown,9.082,8.6753,2020-07-27,41180,860,18203,22117,Africa,3
North Macedonia,Unknown,41.6086,21.7453,2020-07-27,10213,466,5564,4183,Europe,1
Norway,Unknown,60.472,8.4689,2020-07-27,9132,255,8752,125,Europe,1
Oman,Unknown,21.512583,55.92325500000001,2020-07-27,77058,393,57028,19637,Eastern Mediterranean,1
Pakistan,Unknown,30.3753,69.3451,2020-07-27,274289,5842,241026,27421,Eastern Mediterranean,1
Panama,Unknown,8.538,-80.7821,2020-07-27,61442,1322,35086,25034,Americas,0
Papua New Guinea,Unknown,-6.314993,143.95555,2020-07-27,62,0,11,51,Western Pacific,3
Paraguay,Unknown,-23.4425,-58.4438,2020-07-27,4548,43,2905,1600,Americas,0
Peru,Unknown,-9.19,-75.0152,2020-07-27,389717,18418,272547,98752,Americas,0
Philippines,Unknown,12.879721,121.774017,2020-07-27,82040,1945,26446,53649,Western Pacific,3
Poland,Unknown,51.9194,19.1451,2020-07-27,43402,1676,32856,8870,Europe,1
Portugal,Unknown,39.3999,-8.2245,2020-07-27,50299,1719,35375,13205,Europe,1
Qatar,Unknown,25.3548,51.1839,2020-07-27,109597,165,106328,3104,Eastern Mediterranean,1
Romania,Unknown,45.9432,24.9668,2020-07-27,45902,2206,25794,17902,Europe,1
Russia,Unknown,61.52401,105.318756,2020-07-27,816680,13334,602249,201097,Europe,1
Rwanda,Unknown,-1.9403,29.8739,2020-07-27,1879,5,975,899,Africa,3
Saint Kitts and Nevis,Unknown,17.357822,-62.782998,2020-07-27,17,0,15,2,Americas,0
Saint Lucia,Unknown,13.9094,-60.9789,2020-07-27,24,0,22,2,Americas,0
Saint Vincent and the Grenadines,Unknown,12.9843,-61.2872,2020-07-27,52,0,39,13,Americas,0
San Marino,Unknown,43.9424,12.4578,2020-07-27,699,42,657,0,Europe,1
Sao Tome and Principe,Unknown,0.1864,6.6131,2020-07-27,865,14,734,117,Africa,3
Saudi Arabia,Unknown,23.885942,45.079162,2020-07-27,268934,2760,222936,43238,Eastern Mediterranean,1
Senegal,Unknown,14.4974,-14.4524,2020-07-27,9764,194,6477,3093,Africa,0
Serbia,Unknown,44.0165,21.0059,2020-07-27,24141,543,0,23598,Europe,1
Seychelles,Unknown,-4.6796,55.492,2020-07-27,114,0,39,75,Africa,3
Sierra Leone,Unknown,8.460555000000001,-11.779889,2020-07-27,1783,66,1317,400,Africa,0
Singapore,Unknown,1.2833,103.8333,2020-07-27,50838,27,45692,5119,Western Pacific,3
Slovakia,Unknown,48.669,19.699,2020-07-27,2181,28,1616,537,Europe,1
Slovenia,Unknown,46.1512,14.9955,2020-07-27,2087,116,1733,238,Europe,1
Somalia,Unknown,5.152149,46.199616,2020-07-27,3196,93,1543,1560,Eastern Mediterranean,3
South Africa,Unknown,-30.5595,22.9375,2020-07-27,452529,7067,274925,170537,Africa,3
South Korea,Unknown,35.90775700000001,127.766922,2020-07-27,14203,300,13007,896,Western Pacific,1
South Sudan,Unknown,6.877000000000002,31.307,2020-07-27,2305,46,1175,1084,Africa,3
Spain,Unknown,40.463667,-3.74922,2020-07-27,272421,28432,150376,93613,Europe,1
Sri Lanka,Unknown,7.873054,80.77179699999998,2020-07-27,2805,11,2121,673,South-East Asia,3
Sudan,Unknown,12.8628,30.2176,2020-07-27,11424,720,5939,4765,Eastern Mediterranean,3
Suriname,Unknown,3.9193,-56.0278,2020-07-27,1483,24,925,534,Americas,0
Sweden,Unknown,60.128161,18.643501,2020-07-27,79395,5700,0,73695,Europe,1
Switzerland,Unknown,46.8182,8.2275,2020-07-27,34477,1978,30900,1599,Europe,1
Syria,Unknown,34.802075,38.99681500000001,2020-07-27,674,40,0,634,Eastern Mediterranean,1
Taiwan*,Unknown,23.7,121.0,2020-07-27,462,7,440,15,Western Pacific,3
Tajikistan,Unknown,38.861,71.2761,2020-07-27,7235,60,6028,1147,Europe,1
Tanzania,Unknown,-6.369028,34.888822,2020-07-27,509,21,183,305,Africa,3
Thailand,Unknown,15.870032,100.992541,2020-07-27,3297,58,3111,128,South-East Asia,3
Timor-Leste,Unknown,-8.874217,125.727539,2020-07-27,24,0,0,24,South-East Asia,3
Togo,Unknown,8.6195,0.8248,2020-07-27,874,18,607,249,Africa,0
Trinidad and Tobago,Unknown,10.6918,-61.2225,2020-07-27,148,8,128,12,Americas,0
Tunisia,Unknown,33.886917,9.537499,2020-07-27,1455,50,1157,248,Eastern Mediterranean,1
Turkey,Unknown,38.9637,35.2433,2020-07-27,227019,5630,210469,10920,Europe,1
US,Unknown,40.0,-100.0,2020-07-27,4290259,148011,1325804,2816444,Americas,2
Uganda,Unknown,1.373333,32.290275,2020-07-27,1128,2,986,140,Africa,3
Ukraine,Unknown,48.3794,31.1656,2020-07-27,67096,1636,37202,28258,Europe,1
United Arab Emirates,Unknown,23.424076,53.847818,2020-07-27,59177,345,52510,6322,Eastern Mediterranean,1
United Kingdom,Unknown,55.3781,-3.4360000000000004,2020-07-27,300111,45759,0,254352,Europe,1
Uruguay,Unknown,-32.5228,-55.7658,2020-07-27,1202,35,951,216,Americas,0
Uzbekistan,Unknown,41.377491,64.585262,2020-07-27,21209,121,11674,9414,Europe,1
Venezuela,Unknown,6.4238,-66.5897,2020-07-27,15988,146,9959,5883,Americas,0
Vietnam,Unknown,14.058324,108.277199,2020-07-27,431,0,365,66,Western Pacific,3
West Bank and Gaza,Unknown,31.9522,35.2332,2020-07-27,10621,78,3752,6791,Eastern Mediterranean,1
Western Sahara,Unknown,24.2155,-12.8858,2020-07-27,10,1,8,1,Africa,0
Yemen,Unknown,15.552727,48.516388,2020-07-27,1691,483,833,375,Eastern Mediterranean,3
Zambia,Unknown,-13.133897,27.849332,2020-07-27,4552,140,2815,1597,Africa,3
Zimbabwe,Unknown,-19.015438,29.154857,2020-07-27,2704,36,542,2126,Africa,3
