Country/Region,dim_1,dim_2
Afghanistan,-0.34930789761060316,0.8387956917527651
Albania,-0.4058264634540315,0.8404933187708764
Algeria,-0.2586934946623032,0.21540874848105276
Andorra,-0.3856700820468848,0.7828199499479631
Angola,-0.4654430191349927,-1.2310867192960948
Antigua and Barbuda,-0.2872551844539449,-0.5930279880926965
Argentina,0.3956153210608977,-2.773285127676193
Armenia,-0.31342747485057476,0.9437002166193493
Australia,-0.6798703737898091,-1.4655155239972093
Austria,-0.3094903805122035,1.0554960922574808
Azerbaijan,-0.35413112717739303,0.9610308553098127
Bahamas,-0.2467415576949316,-0.3762341310559474
Bahrain,-0.3462304462534631,0.4199851945715561
Bangladesh,0.36717234064753057,0.5719317569339393
Barbados,-0.2948780976188978,-0.7316530313546468
Belarus,-0.15745788015786505,1.3708017773368564
Belgium,0.18772029998995488,1.1546616053646606
Belize,-0.2344008609837214,-0.7463747650954639
Benin,-0.4136947370487684,-0.5173591431270126
Bhutan,-0.5798718500999309,0.7210810684215418
Bolivia,0.03973450608435761,-1.9033258294858266
Bosnia and Herzegovina,-0.37249105442311875,0.9348858794874125
Botswana,-0.49080748975353783,-1.6280493507815115
Brazil,11.912463982211046,-1.8197050751767587
Brunei,-0.6478771306938416,-0.03800906949009638
Bulgaria,-0.38661946123767527,0.9346243162233642
Burkina Faso,-0.4052979385671751,-0.4252238659309906
Burma,-0.5945580327932088,0.5337889168911268
Burundi,-0.4858801488049096,-0.8520831819411705
Cabo Verde,-0.3554014310105473,-0.3837002203478385
Cambodia,-0.6220798517750071,0.17951212938686006
Cameroon,-0.36590876071564704,-0.6789593457692287
Canada,-0.16282364129439406,0.5525935375679133
Central African Republic,-0.44175210137278836,-0.512443291330428
Chad,-0.4426345465524653,-0.17835051464384033
Chile,1.331203270145022,-2.7608186443310085
China,-0.6326447002345045,0.9624365296837342
Colombia,0.986577629381857,-1.1401118950367342
Comoros,-0.5195894907443335,-1.0976562162836332
Congo (Brazzaville),-0.44302423062191776,-0.8116031502396364
Congo (Kinshasa),-0.43132000257319875,-0.9266496078737819
Costa Rica,-0.1882089767674616,-1.0088311662245302
Cote d'Ivoire,-0.3450473928095102,-0.6342700248950465
Croatia,-0.3924303130532939,0.9656704506792857
Cuba,-0.23943394566794832,-0.5127585673811389
Cyprus,-0.4559205318778349,0.6820017205528568
Czechia,-0.3406128891957463,1.1523847068238158
Denmark,-0.3219800512512826,1.3700721624322254
Djibouti,-0.4777140193567435,-0.1802902115113574
Dominica,-0.2898983023244736,-0.6551966167686106
Dominican Republic,0.0069514174193285655,-0.5736769587174707
Ecuador,0.21796757625823618,-1.4187823919642968
Egypt,0.03851351333491652,0.3544876294015286
El Salvador,-0.1666544213948677,-0.8814295328605382
Equatorial Guinea,-0.43092757304271595,-0.7707784181592818
Eritrea,-0.48965413312668266,-0.06430060765816216
Estonia,-0.41322544663599126,1.5544333896389044
Eswatini,-0.5008916171196034,-1.752665729466144
Ethiopia,-0.43532468349054426,-0.29641528135397943
Fiji,-0.7934343318790007,-0.5367174107643896
Finland,-0.382383300814667,1.689289557743516
France,1.402071303842069,1.0099574463564673
Gabon,-0.41998429727746145,-0.8599906438111509
Gambia,-0.38151615293754293,-0.45934854903765227
Georgia,-0.4691072416579784,1.0234606361591563
Germany,0.7020864218482569,1.161893327969994
Ghana,-0.28161841137663524,-0.5953551532005086
Greece,-0.4116444404312357,0.7691258993672309
Greenland,-0.2778217063944277,1.668813387406223
Grenada,-0.29215665424746373,-0.786678847362902
Guatemala,-0.001059337702283911,-0.8119737320536943
Guinea,-0.3686247535008663,-0.5645363626997938
Guinea-Bissau,-0.3765167277963918,-0.5229510721801561
Guyana,-0.30191658413248046,-1.0555306165352376
Haiti,-0.23222945949249196,-0.580090993163103
Holy See,-0.41304928072716607,0.8239859662791814
Honduras,-0.05578039080484357,-0.8028594669043569
Hungary,-0.38542962075609705,1.0733889424639538
Iceland,-0.32304269184777457,1.5433405555336348
India,6.1568905795980555,0.3718881960701912
Indonesia,-0.11059629968914211,-0.24479875230314868
Iran,1.1579803280971244,0.6879401329852692
Iraq,0.09438429475910663,0.6695579339548041
Ireland,-0.20447018548731172,1.1459406172611264
Israel,-0.21226120242036178,0.5331745564371951
Italy,1.711600553999006,0.868418297258052
Jamaica,-0.2524453640377289,-0.6438636060702504
Japan,-0.5156268821586979,1.3460877413520773
Jordan,-0.4652351205727236,0.5474467149836044
Kazakhstan,-0.1761068997281201,1.3842893089764996
Kenya,-0.4235188572233867,-0.6719011921766463
Kosovo,-0.3951334007197999,0.9019070555848415
Kuwait,-0.23253308248816812,0.5290042894396231
Kyrgyzstan,-0.36751489287182776,1.1672813645533069
Laos,-0.6107856602323862,0.4916493798735861
Latvia,-0.4183537310122924,1.484661974914432
Lebanon,-0.45031933116705636,0.6467378451773361
Lesotho,-0.5047162623957674,-1.8932576350163526
Liberia,-0.39396647212127933,-0.7001263971258731
Libya,-0.4236166270241132,0.2408661999273946
Liechtenstein,-0.40239123201550603,1.0126030238535746
Lithuania,-0.41372978731156584,1.4131924836690197
Luxembourg,-0.3658028007348887,1.0970765984739248
Madagascar,-0.4947354940541198,-1.3568971823032419
Malawi,-0.48765972815717834,-1.2141484045378437
Malaysia,-0.5850761896752613,-0.12776290783334068
Maldives,-0.5541022624981817,-0.3369392955356029
Mali,-0.38805018361781174,-0.23002637797434572
Malta,-0.4191289617100677,0.6008080653439825
Mauritania,-0.35615513265574406,-0.1363994192234224
Mauritius,-0.5553255437540018,-1.3553724916878944
Mexico,2.7904443724071584,-0.5243795934555536
Moldova,-0.3267983812675107,1.1347891470432276
Monaco,-0.4009303939897569,0.8660419074391595
