Country/Region,dim_1,dim_2
Afghanistan,4.0156045,1.1105925
Albania,5.7574887,-3.8398712
Algeria,2.541194,-4.0219455
Andorra,5.8301687,-5.4540987
Angola,-6.5158772,4.0524035
Antigua and Barbuda,-13.927226,-2.4808738
Argentina,-11.137093,1.946248
Armenia,5.0918875,-0.80966866
Australia,-1.8774517,6.565009
Austria,7.6827455,-4.811249
Azerbaijan,5.061463,-0.6419664
Bahamas,-15.362639,-2.4082997
Bahrain,2.57234,0.086741425
Bangladesh,5.1379395,3.1979263
Barbados,-13.205457,-2.023848
Belarus,9.221773,-3.9618838
Belgium,10.338434,-3.7448115
Belize,-15.308923,-1.5014337
Benin,-5.5476656,0.013463723
Bhutan,3.160218,4.112316
Bolivia,-11.512263,1.1779741
Bosnia and Herzegovina,6.7210517,-4.162673
Botswana,-7.0068417,5.238307
Brazil,9.760131,2.6761672
Brunei,0.64960486,5.422756
Bulgaria,6.483788,-3.1628377
Burkina Faso,-5.584064,-0.63558024
Burma,2.5803895,4.684965
Burundi,-5.3917713,3.4862208
Cabo Verde,-6.5307884,-1.9012481
Cambodia,1.4376564,5.386818
Cameroon,-5.597811,1.3896838
Canada,-16.259766,-2.9896452
Central African Republic,-4.763593,1.5720048
Chad,-4.0801272,0.1749296
Chile,-11.872982,2.6438951
China,2.4697223,3.8986309
Colombia,-13.353818,1.1828746
Comoros,-5.491827,4.925607
Congo (Brazzaville),-5.6714916,2.3885655
Congo (Kinshasa),-5.90294,3.1961677
Costa Rica,-14.18372,-0.63448197
Cote d'Ivoire,-6.3550224,0.02392323
Croatia,6.8756886,-4.5998178
Cuba,-15.090317,-2.1964445
Cyprus,4.387247,-2.0649526
Czechia,8.193852,-4.927253
Denmark,9.101334,-5.7739067
Djibouti,-2.9462695,1.9266247
Dominica,-13.802394,-2.129358
Dominican Republic,-14.643581,-1.8290619
Ecuador,-13.149394,0.40804604
Egypt,2.5859053,-1.0240823
El Salvador,-14.811285,-0.72360986
Equatorial Guinea,-5.843591,1.7273413
Eritrea,-2.699314,1.5002862
Estonia,9.810923,-5.3181186
Eswatini,-6.8263726,5.8124895
Ethiopia,-3.369138,2.1453676
Fiji,-1.0805349,6.6127076
Finland,10.116421,-5.5151114
France,5.1615186,-8.471559
Gabon,-6.048115,2.2923882
Gambia,-6.361224,-1.3152603
Georgia,5.5446086,-1.3230114
Germany,8.449751,-0.22235979
Ghana,-6.136004,0.3380482
Greece,5.359359,-3.3749917
Greenland,9.561826,-7.3096037
Grenada,-13.533475,-1.4550534
Guatemala,-15.277549,-0.9155535
Guinea,-6.2603106,-0.63100773
Guinea-Bissau,-6.6338444,-1.0764042
Guyana,-12.858939,-0.95756394
Haiti,-14.574878,-2.2969818
Holy See,5.830296,-4.609093
Honduras,-14.915877,-1.0780427
Hungary,7.5518565,-4.255212
Iceland,9.507157,-7.0663037
India,9.29252,2.297691
Indonesia,0.039988037,5.472392
Iran,7.9791927,1.1521266
Iraq,3.4965086,-0.2620913
